Scenario,Offline Action,Online Action,Naive Action,Match POMDP,Match Naive,Offline Value
Scenario 1,Action(X_1=('B', 2)),Action(X_1=('R', 1)),Action(X_1=('B', 2)),False,True,1.0
Scenario 2,Action(X_1=('R', 0)),Action(X_1=('R', 0)),Action(X_1=('R', 0)),True,True,0.0
Scenario 3,Action(Y_1=[]),Action(Y_1=[]),Action(Y_1=[]),True,True,-1.0
Scenario 4,Action(X_1=('B', 1)),Action(X_1=('B', 1)),Action(X_1=('B', 1)),True,True,1.0
Scenario 5,Action(X_1=('R', 1)),Action(X_1=('R', 1)),Action(X_1=('B', 2)),True,False,-0.6666666666666666
Scenario 6,Action(X_1=('B', 2)),Action(X_1=('R', 1)),Action(X_1=('R', 1)),False,False,1.0

Random Tests (N=50),POMDP Matches: 30,Naive Matches: 31,,
